date,name,type,duration_min,distance_km,elevation_m,avg_hr,max_hr,kudos
2026-01-01,Lunch HIIT,HighIntensityIntervalTraining,66.8,0.0,0,158.3,183.0,2
2026-01-19,Evening HIIT,HighIntensityIntervalTraining,64.0,0.0,0,148.4,184.0,4
2026-01-22,Evening HIIT,HighIntensityIntervalTraining,58.3,0.0,0,128.2,180.0,6
2026-01-27,Morning Walk,Walk,19.5,1.84,10.0,128.0,153.0,4
2026-02-02,Evening Yoga,Yoga,33.8,0.0,0,117.0,153.0,4
2026-02-12,Evening HIIT,HighIntensityIntervalTraining,60.9,0.0,0,130.7,171.0,6
2026-02-20,Afternoon HIIT,HighIntensityIntervalTraining,33.3,0.0,0,139.9,166.0,4
2026-02-22,Evening Yoga,Yoga,55.9,0.0,0,97.5,130.0,1
2026-02-26,Evening HIIT,HighIntensityIntervalTraining,60.9,0.0,0,130.5,171.0,3
2026-03-09,Afternoon Run,Run,14.7,2.2,10.8,176.8,196.0,4
2026-04-07,Evening HIIT,HighIntensityIntervalTraining,26.2,0.0,0,142.3,184.0,0
2026-04-09,Evening HIIT,HighIntensityIntervalTraining,105.4,0.0,0,123.5,189.0,2
2026-04-11,Lunch HIIT,HighIntensityIntervalTraining,64.9,0.0,0,155.8,193.0,6
2026-04-12,Morning HIIT,HighIntensityIntervalTraining,57.6,0.0,0,149.9,187.0,2
2026-04-13,Afternoon Yoga,Yoga,42.8,0.0,0,127.0,163.0,4
2026-04-14,Evening Run,Run,33.6,5.01,2.6,182.0,192.0,11
2026-04-16,Evening HIIT,HighIntensityIntervalTraining,57.3,0.0,0,111.5,148.0,5
2026-04-18,AAAthleticism,HighIntensityIntervalTraining,56.9,0.0,0,140.0,176.0,9
2026-04-21,Run with Rain or Shine,Run,46.4,7.02,5.4,177.0,193.0,13
2026-04-22,Afternoon Yoga,Yoga,44.8,0.0,0,101.7,132.0,4
2026-04-23,BodyPump,HighIntensityIntervalTraining,61.0,0.0,0,129.1,161.0,3
2026-04-24,Total Body Strength,HighIntensityIntervalTraining,43.5,0.0,0,121.7,158.0,6
2026-04-28,Rain or Shine- Evening Run,Run,32.8,5.02,5.1,178.1,186.0,11
2026-05-02,Afternoon Hike,Hike,69.0,4.01,67.2,115.2,148.0,6
2026-05-02,Running with Piccolo,Run,40.9,6.13,25.7,172.6,187.0,12
2026-05-03,Morning Run,Run,34.2,5.15,4.4,175.0,183.0,13
2026-05-04,Run to Work,Run,13.4,2.2,11.9,173.4,183.0,10
2026-05-05,Rain or Shine ✨,Run,34.3,5.03,3.0,174.0,187.0,13
2026-05-05,Afternoon Run,Run,10.9,1.72,0,166.4,180.0,8
2026-05-06,Afternoon HIIT,HighIntensityIntervalTraining,30.7,0.0,0,148.5,177.0,8
2026-05-10,Morning Run,Run,34.8,5.11,6.7,172.8,180.0,9
2026-05-12,Rain or Shine ?!,Run,66.2,10.09,5.6,176.2,188.0,12
2026-05-20,Lunch Walk,Walk,180.0,0.29,0,85.0,120.0,4
2026-05-21,Bodypump 🏋️‍♀️,HighIntensityIntervalTraining,54.6,0.0,0,127.6,162.0,3
2026-05-21,Morning Walk,Walk,31.4,3.22,21.8,120.9,139.0,4
2026-05-22,Afternoon HIIT,HighIntensityIntervalTraining,41.5,0.0,0,126.6,187.0,4
2026-05-24,Bodypump United,HighIntensityIntervalTraining,55.4,0.0,0,138.1,170.0,4
2026-05-25,Yoga with Jonathan  😍,Yoga,49.8,0.0,0,102.0,137.0,2
2026-05-25,LesMills Core,HighIntensityIntervalTraining,42.8,0.0,0,156.0,191.0,3
